review_id,product_name,rating,review_text,price,review_date,verified_purchase,sentiment,sentiment_score
1,Wireless Mouse,4,"Exceeded my expectations, five stars.",34.97,2025-03-13,0,neutral,0.0
2,Desk Lamp,4,Excellent build quality and value.,76.45,2025-02-17,0,positive,0.7269
3,Bluetooth Speaker,2,"Stopped working after a week, very disappointed.",60.7,2025-04-23,1,negative,-0.6478
4,Desk Lamp,4,"Great quality and fast shipping, love it!",51.1,2025-06-24,1,positive,0.8622
5,Bluetooth Speaker,4,"Exceeded my expectations, five stars.",19.23,2025-07-14,0,neutral,0.0
6,Laptop Stand,3,"Matches the description, no complaints.",,2025-10-02,0,positive,0.3089
7,Phone Case,5,"Exceeded my expectations, five stars.",,2025-12-27,0,neutral,0.0
8,Wireless Mouse,1,Arrived broken and customer service was unhelpful.,,2026-03-20,0,negative,-0.4767
9,Phone Case,4,"Exceeded my expectations, five stars.",,2025-07-01,0,neutral,0.0
10,Laptop Stand,3,"It's okay, does the job.",58.98,2025-03-25,1,positive,0.2263
11,Phone Case,5,"Works perfectly, highly recommend.",9.48,2025-04-28,0,positive,0.7902
12,Laptop Stand,4,"Great quality and fast shipping, love it!",77.83,2025-04-19,1,positive,0.8622
13,Phone Case,3,Decent for the price.,67.94,2025-03-13,0,neutral,0.0
14,Desk Lamp,2,"Not worth the price, regret buying.",23.29,2025-04-23,0,negative,-0.5371
15,Desk Lamp,4,"Great quality and fast shipping, love it!",21.09,2025-11-18,0,positive,0.8622
16,Phone Case,2,"Not worth the price, regret buying.",21.21,2025-09-28,1,negative,-0.5371
17,Desk Lamp,3,"It's okay, does the job.",29.91,2026-01-29,1,positive,0.2263
18,Wireless Mouse,5,"Works perfectly, highly recommend.",45.78,2026-05-04,1,positive,0.7902
19,Desk Lamp,3,"It's okay, does the job.",39.1,2025-03-20,1,positive,0.2263
20,Bluetooth Speaker,2,"Stopped working after a week, very disappointed.",28.97,2025-01-10,0,negative,-0.6478
21,Laptop Stand,3,"Matches the description, no complaints.",52.05,2025-05-04,0,positive,0.3089
22,Wireless Mouse,3,"It's okay, does the job.",18.04,2025-12-04,1,positive,0.2263
23,Desk Lamp,4,Excellent build quality and value.,29.03,2026-01-01,1,positive,0.7269
24,Phone Case,3,"Matches the description, no complaints.",34.38,2025-03-03,0,positive,0.3089
25,Bluetooth Speaker,4,"Great quality and fast shipping, love it!",40.84,2025-01-04,0,positive,0.8622
26,Wireless Mouse,5,"Great quality and fast shipping, love it!",64.53,2025-09-21,0,positive,0.8622
27,Laptop Stand,2,"Poor quality, would not buy again.",22.38,2025-05-05,1,negative,-0.4767
28,Phone Case,5,"Great quality and fast shipping, love it!",45.02,2025-08-05,1,positive,0.8622
29,Phone Case,3,"It's okay, does the job.",50.65,2025-07-26,1,positive,0.2263
30,Wireless Mouse,5,"Works perfectly, highly recommend.",11.34,2025-08-05,0,positive,0.7902
31,Laptop Stand,5,"Great quality and fast shipping, love it!",51.74,2025-01-26,0,positive,0.8622
32,Wireless Mouse,3,"Average product, nothing special.",20.28,2025-09-06,1,negative,-0.3089
33,Bluetooth Speaker,3,"It's okay, does the job.",12.68,2025-01-02,1,positive,0.2263
34,Laptop Stand,3,Decent for the price.,76.32,2025-12-23,1,neutral,0.0
35,Bluetooth Speaker,4,"Works perfectly, highly recommend.",77.53,2026-01-18,1,positive,0.7902
36,Wireless Mouse,4,Excellent build quality and value.,66.2,2026-05-07,0,positive,0.7269
37,Bluetooth Speaker,4,"Great quality and fast shipping, love it!",29.93,2025-03-03,0,positive,0.8622
38,Desk Lamp,2,"Stopped working after a week, very disappointed.",15.03,2026-04-24,1,negative,-0.6478
39,Bluetooth Speaker,2,Arrived broken and customer service was unhelpful.,57.26,2025-07-22,0,negative,-0.4767
40,Laptop Stand,4,"Great quality and fast shipping, love it!",39.69,2025-11-15,0,positive,0.8622
41,Wireless Mouse,2,Arrived broken and customer service was unhelpful.,16.79,2026-03-28,0,negative,-0.4767
42,Bluetooth Speaker,5,"Works perfectly, highly recommend.",43.65,2025-11-10,0,positive,0.7902
43,Desk Lamp,4,"Great quality and fast shipping, love it!",10.48,2025-03-01,0,positive,0.8622
